YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST FLAG,PREVIOUS_FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL
2017,8103585,El Hadj,Bulk Carrier,37327,,1981,St Kitts & Nevis,Algeria,International Bulk Carrier S.p.A. ,Algeria,International Bulk Carrier S.p.A. ,International Bulk Carrier S.p.A. ,Algeria,Chittagong,Bangladesh,17-Feb
2017,7708194,Cash,Bulk Carrier,16013,,1978,St Kitts & Nevis,Algeria,International Bulk Carrier S.p.A. ,Algeria,International Bulk Carrier S.p.A. ,International Bulk Carrier S.p.A. ,Algeria,Chittagong,Bangladesh,17-May
2017,8110447,Temouchent,Bulk Carrier,19084,,1982,Comoros,Algeria,International Bulk Carrier S.p.A. ,Algeria,International Bulk Carrier S.p.A. ,International Bulk Carrier S.p.A. ,Algeria,Chittagong,Bangladesh,17-May
2017,7708182,Tang ,Bulk Carrier,16013,,1978,St Kitts & Nevis,Algeria,International Bulk Carrier S.p.A. ,Algeria,International Bulk Carrier S.p.A. ,International Bulk Carrier S.p.A. ,Algeria,Chittagong,Bangladesh,17-May
2017,8417314,Djebel El Onk II,General Cargo,2863,,1985,Sierra Leone,,International Bulk Carrier S.p.A. ,Algeria,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,17-Jul
2017,8417338,Djebel Refaa,General Cargo,2863,,1986,Sierra Leone,,International Bulk Carrier S.p.A. ,Algeria,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,17-Jul
2017,7514268,Vira,Tanker,8678,,1979,St Kitts & Nevis,Argentina,Sur Petrolera Naviera,Argentina,National Shipping SA,Sur Petrolera Naviera,Argentina,Chittagong,Bangladesh,17-Sep
2017,8513429,Niamul Mowla,Bulk Carrier,20046,,1986,Bangladesh,,AK Ship Management & Services,Bangladesh,MM Shipping Singapore,Azlan Shipping Lines Ltd,Bangladesh,Chittagong,Bangladesh,17-Apr
2017,9109366,Akij Wave,Bulk Carrier,27011,,1995,Bangladesh,,Akij Shipping Line Limited ,Bangladesh,Akij Shipping Line Limited ,Akij Ocean Line Limited ,Bangladesh,Chittagong,Bangladesh,17-Jan
2017,8908478,Banglar Shikha,General Cargo,9927,,1991,Bangladesh,,Bangladesh Govt,Bangladesh,Bangladesh Shipping Corp,Bangladesh Shipping Corp,Bangladesh,Chittagong,Bangladesh,17-Sep
2017,9128283,Symeon,Tanker,81148,,1998,Comoros,Greece,CMB SA,Belgium,Euronav NV,Euronav NV,Belgium,Chittagong,Bangladesh,17-Dec
2017,7817593,Krankeloon,Hopper/Dredger,3678,,1980,Belgium,,DEME Group,Belgium,Decloedt en Zoon NV,Decloedt en Zoon NV,Belgium,Ghent,Belgium,17-Jul
2017,9164184,Berge Atlantic,Bulk Carrier,91962,,1998,Comoros,Norway,Berge Bulk Limited ,Bermuda,Berge Bulk (Norway) AS ,P/R Bergesen Goic DA ,Norway,Gadani,Pakistan,17-Jan
2017,8314471,Berge Fjord,Bulk Ore Carrier,159534,,1987,Panama,,Berge Bulk Limited ,Bermuda,Berge Bulk (Norway) AS ,Berge Fjord Company S.A. ,Panama,Chittagong,Bangladesh,17-Mar
2017,8511263,Fann,Vehicles Carrier,27650,,1985,Comoros,Panama,Berge Bulk Limited ,Bermuda,Kawasaki Kisen Kaisha Ltd,Jafett Shipping Inc,Panama,Chittagong,Bangladesh,17-Aug
2017,9161508,Berge Yotei,Bulk Carrier,87322,,1997,Isle Of Man,,Berge Bulk Limited ,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Mauna Loa Co SA,Panama,Gadani,Pakistan,17-Sep
2017,8814768,Bw Havfrost,Liquefied Petroleum Gas Carrier,34946,,1991,Norway,,BW Group Limited ,Bermuda,BW LPG Private Limited ,Partrederiet Bergesen d.y. Shipping DA ,Norway,Alang,India,17-Jan
2017,9231743,Venezia,Fully Cellular Containership,65131,,2001,Hong Kong,,Nautilus group of companies ,Bermuda,Nautilus Holdings Limited ,Regal Stone Limited ,Hong Kong,Chittagong,Bangladesh,17-Jan
2017,8758847,Tay,"Platform, Semi-Submersible",28592,,1981,Tanzania ,,Odebrecht Oleo e Gas SA,Brazil,Odebrecht Oleo e Gas SA,ODN Tay IV GmbH,Austria,Aliaga,Turkey,17-Sep
2017,8421169,Ten,Product Tanker,35845,,1991,Djibouti,Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petrobras Transporte S.A. (TRANSPETRO) ,Petrobras Transporte S.A. (TRANSPETRO) ,Brazil,Alang,India,17-May
2017,8617031,Lobat,Tanker,25807,,1993,Djibouti,Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petrobras Transporte S.A. (TRANSPETRO) ,Petrobras Transporte S.A. (TRANSPETRO) ,Brazil,Chittagong,Bangladesh,17-Sep
2017,8754023,Bras X,"Platform, Semi-Submersible",14411,,1982,Tanzania ,,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Petrobras Netherlands BV,Netherlands,Aliaga,Turkey,17-Nov
2017,8754097,Bras XVII,"Platform, Semi-Submersible",12642,,1984,Tanzania ,Liberia,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Petrobras Netherlands BV,Netherlands,Aliaga,Turkey,17-Nov
2017,8754085,Bras XVII,"Platform, Semi-Submersible",12642,,1984,Tanzania ,Marshall Islands,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Petrobras Netherlands BV,Netherlands,Aliaga,Turkey,17-Nov
2017,7921899,Guapore-I,Liquefied Gas Tanker,6961,,1982,Togo,Brazil,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petrobras Transporte S.A. (TRANSPETRO) ,Petrobras Transporte S.A. (TRANSPETRO) ,Brazil,Alang,India,17-Dec
2017,8516691,Ore Brucutu,Bulk Ore Carrier,124039,,1986,Liberia,,Vale SA,Brazil,Seamar Shipping Corporation ,Seamar Shipping Corporation ,Liberia,Alang,India,17-Feb
2017,8907436,Ore Sossego,Bulk Ore Carrier,149064,,1991,Cook Islands,,Vale SA,Brazil,Vale SA,Seamar Shipping Corp,Liberia,Alang,India,17-Jul
2017,8750089,Alaskan Star,Drill Platform,11464,,1976,Panama,,Alaskan Star Limited ,British Virgin Islands,Alaskan Star Limited ,Alaskan Star Limited ,British Virgin Islands,Aliaga,Turkey,17-May
2017,7424774,Enterprise,Anchor Handling Tug/Supply,1313,,1975,Bulgaria,,Bon Marine International EAD ,Bulgaria,Bon Marine International EAD ,Bon Marine International EAD ,Bulgaria,Aliaga,Turkey,17-Jan
2017,7361635,Deniz,General Cargo,2952,,1974,Comoros,,Comsul Ltd,Bulgaria,Eca Ship Trade Co,Comsul Ltd,Bulgaria,Aliaga,Turkey,17-Dec
2017,9015656,Midjur,Bulk Carrier,13834,,1992,Malta,,Navigation Maritime Bulgare AD (NAVIBULGAR) ,Bulgaria,Navigation Maritime Bulgare AD (NAVIBULGAR) ,Rousse Maritime Limited ,Malta,Gadani,Pakistan,17-Apr
2017,8002432,John B.,Bulk Carrier,22881,,1983,Sierra Leone,,Algoma Central Corporation ,Canada,Algoma Central Corporation ,Algoma Central Corporation ,Canada,Aliaga,Turkey,17-Jun
2017,6918546,Preserver,Tanker/Supply Ship,17764,,1970,Canada,,Canada Govt,Canada,Canada Govt National Defence,Canada Govt National Defence,Canada,Sidney,Canada,17-Aug
2017,7039567,Princess Of Acadia,Roro Cargo/Ferry,10051,,1971,Canada,,Canada Govt,Canada,Northumberland Ferries Ltd,Canada Govt Transport,Canada,Port Colborne,Canada,17-Nov
2017,8409331,Glen,"Bulk Carrier, Great Laker",20370,,1985,Comoros,Canada,CSL Group Inc,Canada,CSL Group Inc,CSL Group Inc,Canada,Aliaga,Turkey,17-Oct
2017,8600507,Anna,General Cargo,15893,,1986,Palau,Canada,Desgagnes Groupe,Canada,Desgagnes Transport Inc,Desgagnes Transport Inc,Canada,Gadani,Pakistan,17-Aug
2017,6717069,Kathryn Spirit,Open Hatch Cargo Ship,9261,,1967,Canada,,McKeil Marine Ltd,Canada,McKeil Marine Ltd,McKeil Marine Ltd,Canada,Great Lakes,Canada,17-Dec
2017,7347706,Buchan A,"Platform, Semi-Submersible",8000,,1973,United Kingdom,,Talisman Energy Inc,Canada,Talisman Sinopec Energy UK Ltd,Talisman Sinopec Energy UK Ltd,United Kingdom,Lerwick,United Kingdom,17-Aug
2017,9192337,Sunny,Tanker,62685,,1999,Comoros,Bahamas,Teekay Corp,Canada,Teekay Chartering Ltd,Kanata Spirit Holding LLC,Marshall Islands,Chittagong,Bangladesh,17-Sep
2017,8914740,Lion,Fso,79873,,1991,Palau,Bahamas,Teekay Corp,Canada,Teekay Shipping Norway AS,Navion Offshore Loading AS,Norway,Alang,India,17-Oct
2017,9191345,Tina,Tanker,58288,,1999,Palau,Marshall Islands,Teekay Corp,Canada,Teekay Chartering Ltd,1999 Sentinel Trust,United States Of America,Chittagong,Bangladesh,17-Dec
2017,9192349,T Sunny,Tanker,62685,,1999,Comoros,Bahamas,Teekay Corp,Canada,Teekay Chartering Ltd,Kareela Spirit Holding LLC,Marshall Islands,Alang,India,17-Dec
2017,8754839,Rig 105,"Platform, Jack-Up (Self-Elev.)",4161,,1975,Vanuatu,,Shelf Drilling Holdings Ltd,Cayman Islands,Shelf Drilling Holdings Ltd,Shelf Drilling Egypt Ltd,Egypt,Unknown,Unknown,17-Aug
2017,8713550,Vila,Refrigerated Cargo,11590,,1990,Comoros,Liberia,Siem Shipping Inc,Cayman Islands,Star Reefers Pool Inc,Star Reefers Shipowning Inc,Cayman Islands,Alang,India,17-Sep
2017,8906975,Honduras,Refrigerated Cargo,10629,,1992,Comoros,Liberia,Siem Shipping Inc,Cayman Islands,Star Reefers Pool Inc,Star Reefers Shipowning Inc,Cayman Islands,Alang,India,17-Oct
