BUILT,PREVIOUS_FLAG,RO_COUNTRY,TYPE,REGISTERED_OWNER,GT,IMO,ARRIVAL,COMMERCIAL_OPERATOR,LDT,BO_COUNTRY,COUNTRY,YEAR,LAST_FLAG,BENEFICIAL_OWNER,PLACE,NAME
1978.0,,Greece,General Cargo With Container Capacity,Artemon NE,1279.0,7717224,19-Jan,Artemon NE,,Greece,Turkey,2015,Greece ,Artemon NE,Aliaga,Chrissoula S.
1985.0,,Malta,Bulk Carrier,Albatross Navigation Company Limited  ,19864.0,8421341,19-Jan,Aroania Maritime SA,,Greece,Bangladesh,2015,Malta ,Aroania Maritime SA,Chittagong,Voyager
1990.0,,Liberia,Fully Cellular Containership,Ares Navigation Incorporated  ,37209.0,8806814,28-Sep,Ares Navigation Incorporated  ,,Liberia,India,2015,Liberia ,Ares Navigation Incorporated  ,Alang,China Star
1984.0,,United Kingdom,Bulk Carrier With Container Capacity,Umang Shipping Services Limited  ,25063.0,8306826,20-Mar,ArcelorMittal Shipping Limited,,United Kingdom,Pakistan,2015,Liberia ,ArcelorMittal Shipping Limited,Gadani,Umang
1995.0,,Liberia,Bulk Carrier,Sea Island Shipping Corporation,38131.0,9104122,16-Apr,Aegean Bulk Company Incorporated  ,,Greece,Pakistan,2015,Greece ,Arcadia Shipmanagement Company Limited,Gadani,Konstantinos A.
1984.0,,Malaysia,Vehicle Carrier,Arca Mega Maritime Sendirian Berhad ,37996.0,8319689,14-Oct,Arca Mega Maritime Sendirian Berhad ,,Malaysia,Bangladesh,2015,Panama,Arca Mega Maritime Sendirian Berhad ,Chittagong,Arca Emerald
1986.0,,Panama,Bulk Carrier,Maria Maritime Services Incorporated ,17313.0,8212087,09-Sep,Arados Shipping Company S.r.l. ,,Romania,Pakistan,2015,Panama,Arados Shipping Company S.r.l. ,Gadani,Princess Maria
1988.0,,Hong Kong,Tanker,AR Shipping (HK) Limited ,44322.0,8614467,09-Jan,AR Shipping (HK) Limited ,,Hong Kong,India,2015,Tanzania,AR Shipping (HK) Limited ,Alang,Silva
1985.0,,Russia,Fishing,AO Nakhodka Active Marine Fishery Base ,2160.0,7404396,04-Apr,AO Nakhodka Active Marine Fishery Base ,,Russia,India,2015,Cambodia,AO Nakhodka Active Marine Fishery Base ,Alang,Antares
1981.0,,Norway,General Cargo With Container Capacity,Atlantic RTI AS,9641.0,7826491,01-Jul,Ancora Maritime Incorporated,,Greece,Turkey,2015,Togo ,Ancora Maritime Incorporated,Aliaga,Dominator
