YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST_FLAG,PREVIOUS_FLAG,BENEFICIAL_OWNER,BO_COUNTRY,COMMERCIAL_OPERATOR,REGISTERED_OWNER,RO_COUNTRY,PLACE,COUNTRY,ARRIVAL
2016,7125196,Frosina,General Cargo,2757,,1971,San Marino,,Globex Sh P K ,Albania,Globex Sh P K ,Globex Sh P K ,Albania,Aliaga,Turkey,03-11-2016
2016,8706088,Luena ,Combined Chemical And Oil Tanker,22733,,1990,Niue,,Sociedade Nacional de Combustiveis de Angola EP (SONANGOL)  ,Angola,Sociedade Nacional de Combustiveis de Angola EP (SONANGOL)  ,SONANGOL Shipping Ngol Luena  ,Malta,Gadani,Pakistan,21-05-2016
2016,8808537,Trident  ,Product Tanker,19034,,1997,Djibouti,,Trans-Ona S.A.M.C.I.F.  ,Argentina,Trans-Ona S.A.M.C.I.F.  ,Trans-Ona S.A.M.C.I.F.  ,Argentina,Gadani,Pakistan,14-05-2016
2016,8203309,Cent,Bulk Carrier With Container Capacity,13004,,1982,Palau,,Maritima Maruba SCA (Sociedad en Comandita por Acciones) ,Argentina,Maritima Maruba SCA (Sociedad en Comandita por Acciones) ,Maritima Maruba SCA (Sociedad en Comandita por Acciones) ,Argentina,Alang,India,05-10-2016
2016,7382770,Austral Leader II,Trawler,1045,,1975,Australia,,Austral Fisheries Proprietary Limited  ,Australia,Austral Fisheries Proprietary Limited  ,Austral Fisheries Proprietary Limited  ,Australia,Alang,India,09-04-2016
2016,8509117,UK Sea,Bulk Carrier,23262,,1988,Togo,,Alcoa of Australia Limited  ,Australia,Alcoa of Australia Limited  ,Alcoa of Australia Limited  ,Australia,Gadani,Pakistan,02-04-2016
2016,7623904,Seahorse Spirit ,Diving Support,2090,,1980,Tuvalu,,Commonwealth Government of Australia  ,Australia,DMS Maritime Proprietary Limited  ,DMS Maritime Proprietary Limited  ,Australia,Alang,India,22-07-2016
2016,8311376,Infinity,General Cargo ,10576,,1986,Bangladesh,,AK Ship Management & Services (Private) Limited ,Bangladesh,AK Ship Management & Services (Private) Limited ,Grandeur Shipping Lines Limited ,Bangladesh,Chittagong,Bangladesh,31-03-2016
2016,8316223,Bashundhara 2,Bulk Carrier,27535,,1986,Bangladesh,,Bashundhara Group ,Bangladesh,Bashundhara Logistics Limited ,East West Property Development (Private) Limited ,Bangladesh,Chittagong,Bangladesh,03-01-2016
2016,7611602,Banglar Kakoli,General Cargo With Container Capacity,12521,,1979,Bangladesh,,Government of Bangladesh  ,Bangladesh,Bangladesh Shipping Corporation  ,Bangladesh Shipping Corporation  ,Bangladesh,Chittagong,Bangladesh,25-07-2016
2016,9292254,Bear Hunter,Fully Cellular Containership,54519,,2004,Hong Kong,,Delphis N.V. ,Belgium,Delphis N.V. ,Bear Hunter Limited ,Hong Kong,Chittagong,Bangladesh,23-11-2016
