YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST_FLAG,PREVIOUS_FLAG,BENEFICIAL_OWNER,BO_COUNTRY,COMMERCIAL_OPERATOR,REGISTERED_OWNER,RO_COUNTRY,PLACE,COUNTRY,ARRIVAL
2022,9203760,SONANGOL LUANDA,Crude Oil Tanker,"81,230","23,192",2000,Bahamas,,SONANGOL,Angola,SONANGOL,Sonangol Shipping Luanda Ltd,Bahamas,Alang,India,22-May
2022,9180114,SONANGOL GIRASSOL,Crude Oil Tanker,"81,230","23,313",2000,Bahamas,,SONANGOL,Angola,SONANGOL,Sonangol Shipping Girassol Ltd,Bahamas,Chittagong,Bangladesh,22-May
2022,7027021,DYNAMIC EXPLORER,Fish Factory Ship,"3,889","3,588",1970,Palau,Argentina,Dynamic Marine SA,Argentina,Dynamic Marine SA,Dynamic Marine SA,Argentina,Alang,India,22-Jan
2022,7128851,HAREN,Fishing Vessel,"1,955","1,713",1972,Palau,Argentina,Harengus SA,Argentina,Harengus SA,Harengus SA,Argentina,Alang,India,22-Jan
2022,7618246,SOLIDOR 2,Passenger/Ro-Ro Ship (Vehicles),"3,401",,1977,Unknown,,Unknown,Argentina,Unknown,Unknown,Unknown,Buenos Aires,Argentina,22-May
2022,8912417,MIRAMBEENA,Passenger/Ro-Ro Ship (Vehicles),500,,1991,Australia,,Australia Govt,Australia,Tasmania Govt,Tasmania Govt Dept of Trans,Australia,Hobart,Australia,22-Jun
2022,9307712,UP SAFIRA,Platform Supply Ship,"2,919",,2005,Mexico,,Ultrapetrol Bahamas Ltd,Bahamas,Oceanmarine SA,Padow Shipping Inc,Panama,Unknown,Mexico,21-Oct
2022,8038182,ARISTOTLE,Fish Factory Ship,"6,144","3,190",1982,Cameroon,,Pescador Ltd,Belize,Pescador Ltd,Pescador Ltd,Belize,Alang,India,22-Sep
2022,8721088,LEO,Fish Factory Ship,"6,232","5,013",1985,Unknown,,Pescatlant Ltd,Belize,Pescatlant Ltd,Pescatlant Ltd,Belize,Aliaga,Turkey,22-Apr
2022,9204752,NAVION ANGLIA,Shuttle Tanker,"72,449","26,475",1999,Togo,Norway,Altera Infrastructure LP,Bermuda,Altera Infrastructure Norway,Altera Grand Banks Shipping,Norway,Aliaga,Turkey,22-Feb
2022,9233806,PETRONORDIC,Shuttle Tanker,"54,865","17,483",2002,Norway (Nis),,Altera Infrastructure LP,Bermuda,Altera Infrastructure Norway,Altera Shuttle Loading Pte Ltd,Singapore,Aliaga,Turkey,22-Sep
2022,8500537,FALCON SPIRIT,"FSO, Oil","70,434","22,793",1986,Panama,Bahamas,Altera Infrastructure LP,Bermuda,Altera Operations Australia,Altera Al Rayyan LLC,Marshall Islands,Alang,India,22-Oct
2022,9073438,JENGA,Ore Carrier,"1,48,159","39,613",1994,Comoros,Isle of Man,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Kangchenjunga Co Inc,Marshall Islands,Chittagong,Bangladesh,22-Jan
2022,9223590,BERGE AORAKI,Bulk Carrier,"87,322","21,285",2000,Isle Of Man,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Aoraki Co SA,Panama,Chittagong,Bangladesh,22-Mar
2022,9221906,BERGE ARCTIC,Ore Carrier,"91,563","27,461",2001,Panama,,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Arctic Co SA,Panama,Alang,India,22-Mar
2022,9233337,BERGE APO,Bulk Carrier,"85,888","20,668",2000,Isle Of Man,,Berge Bulk Ltd,Bermuda,Hillsboro Co SA,Hillsboro Co SA,Panama,Alang,India,22-Dec
2022,8755364,OBI,"Drilling Rig, semi Submersible","22,394","27,225",1987,Comoros,Liberia,Borr Drilling Ltd,Bermuda,Noble Drilling Services Inc,Noble Leasing Switzerland GmbH,Switzerland,Alang,India,22-May
2022,7380693,VICE,"FPSO, Oil","72,654","27,130",1976,St Kitts & Nevis,Singapore,BW Offshore Ltd,Bermuda,BW Offshore Singapore Pte Ltd,BW Cidade de Sao Vicente,Singapore,Alang,India,22-Feb
2022,8017815,ROAR,"FPSO, Oil","71,142","26,293",1981,St Kitts & Nevis,Singapore,BW Offshore Ltd,Bermuda,BW Offshore Singapore Pte Ltd,BW Umuroa Pte Ltd,Singapore,Alang,India,22-Apr
