YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST_FLAG,PREVIOUS_FLAG,BENEFICIAL_OWNER,BO_COUNTRY,COMMERCIAL_OPERATOR,REGISTERED_OWNER,RO_COUNTRY,PLACE,COUNTRY
2015,7717224,Chrissoula S.,General Cargo With Container Capacity,1279,1023.2,1978,Greece ,,Artemon NE,Greece,Artemon NE,Artemon NE,Greece,Aliaga,Turkey
2015,8421341,Voyager,Bulk Carrier,19864,15891.2,1985,Malta ,,Aroania Maritime SA,Greece,Aroania Maritime SA,Albatross Navigation Company Limited  ,Malta,Chittagong,Bangladesh
2015,8806814,China Star,Fully Cellular Containership,37209,29767.2,1990,Liberia ,,Ares Navigation Incorporated  ,Liberia,Ares Navigation Incorporated  ,Ares Navigation Incorporated  ,Liberia,Alang,India
2015,8306826,Umang,Bulk Carrier With Container Capacity,25063,20050.4,1984,Liberia ,,ArcelorMittal Shipping Limited,United Kingdom,ArcelorMittal Shipping Limited,Umang Shipping Services Limited  ,United Kingdom,Gadani,Pakistan
2015,9104122,Konstantinos A.,Bulk Carrier,38131,30504.8,1995,Greece ,,Arcadia Shipmanagement Company Limited,Greece,Aegean Bulk Company Incorporated  ,Sea Island Shipping Corporation,Liberia,Gadani,Pakistan
2015,8319689,Arca Emerald,Vehicle Carrier,37996,30396.8,1984,Panama,,Arca Mega Maritime Sendirian Berhad ,Malaysia,Arca Mega Maritime Sendirian Berhad ,Arca Mega Maritime Sendirian Berhad ,Malaysia,Chittagong,Bangladesh
2015,8212087,Princess Maria,Bulk Carrier,17313,13850.4,1986,Panama,,Arados Shipping Company S.r.l. ,Romania,Arados Shipping Company S.r.l. ,Maria Maritime Services Incorporated ,Panama,Gadani,Pakistan
2015,8614467,Silva,Tanker,44322,35457.6,1988,Tanzania,,AR Shipping (HK) Limited ,Hong Kong,AR Shipping (HK) Limited ,AR Shipping (HK) Limited ,Hong Kong,Alang,India
2015,7404396,Antares,Fishing,2160,1728,1985,Cambodia,,AO Nakhodka Active Marine Fishery Base ,Russia,AO Nakhodka Active Marine Fishery Base ,AO Nakhodka Active Marine Fishery Base ,Russia,Alang,India
2015,7826491,Dominator,General Cargo With Container Capacity,9641,7712.8,1981,Togo ,,Ancora Maritime Incorporated,Greece,Ancora Maritime Incorporated,Atlantic RTI AS,Norway,Aliaga,Turkey
2015,8320779,Liberty,Vehicle Carrier,51858,41486.4,1985,Marshall Islands ,,American Roll-On Roll-Off Carrier LLC  ,United States of America,American Roll-On Roll-Off Carrier LLC  ,Fidelio Limited Partnership Incorporated,United States of America,Jiangyin,China
2015,9127813,Zenit,Fully Cellular Containership,21199,16959.2,1998,Marshall Islands,,Alpha Ship GmbH & Company KG ,Germany,Alpha Shipmanagement GmbH & Company KG ,Alpha Ship GmbH & Company KG ms Zenit ,Germany,Chittagong,Bangladesh
2015,5241142,Mont,Bulk Carrier,17647,14117.6,1962,St. Kitts-Nevis ,,Algoma Central Corporation,Canada,Algoma Central Corporation,Algoma Central Corporation,Canada,Aliaga,Turkey
2015,8105492,Nelvana,Bulk Carrier,44340,35472,1983,Bermuda ,,Algoma Central Corporation,Canada,Algoma Central Corporation,Marbulk Canada Incorporated,United States of America,Aliaga,Turkey
2015,9107590,HSS Discovery,Passenger Ro/Ro,19638,15710.4,1997,Venezuela ,,Albamar C.A. ,Venezuela,Albamar C.A. ,Albamar C.A. ,Venezuela,Aliaga,Turkey
2015,8308898,Bashundhara 3,Bulk Carrier,22531,18024.8,1985,Bangladesh ,,Bashundhara Group ,Bangladesh,Bashundhara Logistics Limited ,East West Property Development (Private) Limited ,Bangladesh,Chittagong,Bangladesh
2015,8129814,Seagas General,Liquid Petroleum Gas Carrier,4605,3684,1982,Cyprus ,,Bernhard Schulte Group of Companies,Germany,Bernhard Schulte Shipmanagement (Cyprus) Company Limited  ,KJP Seagas General Limited,Cyprus,Alang,India
2015,9115705,Berge Prosperity,Bulk Carrier,108083,86466.4,1996,Isle of Man ,,Berge Bulk Limited,Bermuda,Berge Bulk (Norway) AS  ,SG Prosperity Company S.A.  ,Bahamas,Gadani,Pakistan
2015,8314483,Berge Vik,Bulk Ore Carrier,159534,127627.2,1987,Panama ,,Berge Bulk Limited,Bermuda,Berge Bulk (Norway) AS ,Berge Vik Company S.A.,Panama,Gadani,Pakistan
2015,9122095,2car,Bulk Carrier,85706,68564.8,1996,St. Kitts-Nevis ,,Bereederungsgesellschaft H.Vogemann GmbH & Company KG ,Germany,Bereederungsgesellschaft H.Vogemann GmbH & Company KG ,Gamma Bulk Incorporated,Liberia,Gadani,Pakistan
2015,8409630,East Med Gas,Gas Carrier,6867,5493.6,1985,Panama,,Benelux Overseas Incorporated ,Greece,Benelux Overseas Incorporated ,Selva Marine S.A. ,Liberia,Alang,India
2015,8704949,Fei Yu,Ferry,425,340,1988,China ,,Beibu Gulf Tourism Company Limited,China,Beibu Gulf Tourism Company Limited,Beibu Gulf Tourism Company Limited,China,Unknown,China
2015,7925895,Natzutec,Bulk Carrier,17679,14143.2,1981,Hong Kong ,,Adani Shipping (China) Company Limited,China,Adani Shipping (China) Company Limited,Natzutec Maritime Limited,Hong Kong,Chittagong,Bangladesh
2015,8616582,Zeynep Dundar,General Cargo With Container Capacity,1829,1463.2,1987,Panama,,Act Denizcilik Tasimaciligi Sanayi ve Ticaret Limited Sirketi ,Turkey,Act Denizcilik Tasimaciligi Sanayi ve Ticaret Limited Sirketi ,Mediterranean Logistics Corporation ,Turkey,Aliaga,Turkey
2015,8400268,ACS 8,Product Tanker,2970,2376,1985,Thailand ,,ACS Marine Company Limited,Thailand,ACS Marine Company Limited,ACS Marine Company Limited,Thailand,Chittagong,Bangladesh
2015,8506579,Kema,Roll On Roll Off,6318,5054.4,1985,Cambodia ,,Acrex Corporation,Russia,Acrex Corporation,Inderton Limited S.A.,Panama,Chittagong,Bangladesh
2015,7533393,Elduga,Vehicle Carrier,5927,4741.6,1977,Cambodia ,,Acrex Corporation,Russia,Acrex Corporation,Inderton Limited S.A.  ,Panama,Chittagong,Bangladesh
2015,8202044,Tamim,Bulk Carrier,15185,12148,1982,Sudan ,,Abu Qurrah Oil Well Maintenance Establishment,United Arab Emirates,Abu Qurrah Oil Well Maintenance Establishment,Abu Qurrah Oil Well Maintenance Establishment,United Arab Emirates,Gadani,Pakistan
2015,8409381,Maersk Mariner,Fire Fighting Tug/Supply,3949,3159.2,1986,Isle of Man ,,A.P. Moller-Maersk Group ,Denmark,Maersk Supply Service A/S  ,Maersk Supply Service UK Limited,United Kingdom,Aliaga,Turkey
2015,8212714,LTC John U.D.Page,Fully Cellular Containership,57075,45660,1985,United States of America,,A.P. Moller-Maersk Group,Denmark,Maersk Line Limited  ,Maersk Line Limited,United States of America,Aliaga,Turkey
2015,9100102,Melchior,Bulk Carrier,38891,31112.8,1995,Marshall Islands ,,A.M. Nomikos Transworld Maritime Agencies S.A.,Greece,A.M. Nomikos Transworld Maritime Agencies S.A.,Melchior Navigation Incorporated  ,Marshall Islands,Chittagong,Bangladesh
2015,9073737,Dawn Meerut,Product Tanker,20378,16302.4,1995,India ,,Arya Group ,India,Arya Group ,MP Recycling Company Private Limited,India,Gadani,Pakistan
2015,9218167,Tian Bai Feng,Bulk Carrier,39042,31233.6,2000,Hong Kong ,,China Ocean Shipping (Group) Company (COSCO) ,China,China Ocean Shipping (Group) Company (COSCO) ,Jin Yan Navigation Incorporated ,Panama,Jiangyin,China
2015,8601343,Fu Wen Shan,General Cargo With Container Capacity,13823,11058.4,1987,China ,,China Ocean Shipping (Group) Company (COSCO) ,China,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,China,Ningde ,China
